localizacao,rede,atu_em,had_em,tdi_em,taxa_aprovacao_em,taxa_reprovacao_em,dsu_em,afd_em_grupo_1,taxa_abandono_em
total,total,29.6,5.2,26.2,86.1,9.1,97.2,63.3,4.8
urbana,total,30.2,5.2,25.6,86.1,9.2,97.5,64.1,4.7
total,privada,27.1,5.5,7.0,96.4,3.4,95.2,63.3,0.2
urbana,privada,27.2,5.5,6.7,96.4,3.4,95.3,63.5,0.2
total,municipal,27.6,4.8,23.2,88.7,7.4,95.2,65.7,3.9
total,publica,30.0,5.1,28.9,84.7,10.0,97.7,63.3,5.3
urbana,municipal,29.1,4.9,20.9,88.9,7.6,97.7,70.6,3.5
urbana,publica,30.7,5.1,28.4,84.6,10.1,98.1,64.2,5.3
total,estadual,30.0,5.1,29.3,84.5,10.0,97.7,63.1,5.5
urbana,estadual,30.8,5.1,28.7,84.5,10.1,98.1,64.1,5.4
rural,estadual,21.1,4.7,40.3,85.1,7.6,92.2,50.8,7.3
rural,municipal,18.5,4.4,44.1,86.7,5.2,82.3,36.1,8.1
rural,publica,21.6,5.0,38.5,85.5,7.7,92.7,51.6,6.8
rural,total,21.7,5.1,38.0,85.8,7.5,92.5,51.3,6.7
total,federal,30.3,7.0,18.7,88.5,9.8,98.4,68.1,1.7
urbana,federal,30.2,6.7,18.7,88.4,9.9,98.3,68.0,1.7
rural,privada,23.1,8.1,24.0,94.4,3.2,87.8,44.2,2.4
rural,estadual,22.0,4.5,42.0,82.1,8.4,87.6,46.4,9.5
rural,federal,28.9,8.3,16.9,86.4,10.7,98.4,70.4,2.9
rural,municipal,20.1,4.7,44.2,83.0,6.9,71.2,32.7,10.1
rural,publica,22.3,4.8,40.3,82.4,8.5,88.2,47.3,9.1
rural,total,22.4,4.9,39.8,82.8,8.3,87.7,47.0,8.9
total,municipal,27.5,4.7,26.3,84.2,10.2,91.1,62.2,5.6
total,publica,30.5,4.8,30.4,79.8,12.4,93.7,58.3,7.8
total,total,30.2,4.9,27.4,81.7,11.5,93.1,58.9,6.8
urbana,municipal,29.0,4.7,23.8,84.4,10.6,95.5,68.0,5.0
urbana,publica,31.1,4.8,29.9,79.7,12.6,94.2,59.1,7.7
urbana,total,30.7,4.9,26.8,81.7,11.6,93.4,59.7,6.7
rural,privada,25.3,7.7,27.0,92.8,3.9,77.1,39.4,3.3
total,privada,28.5,5.4,7.3,94.5,5.1,90.6,62.2,0.4
urbana,privada,28.5,5.4,7.1,94.5,5.1,90.7,62.5,0.4
total,federal,28.4,6.6,18.6,84.9,12.4,98.1,74.1,2.7
urbana,federal,28.3,6.3,18.9,84.7,12.7,98.0,74.8,2.6
total,estadual,30.6,4.8,30.6,79.7,12.4,93.6,58.0,7.9
urbana,estadual,31.1,4.8,30.1,79.6,12.6,94.0,58.8,7.8
rural,federal,30.2,8.5,23.1,80.7,16.8,98.9,73.0,2.5
total,municipal,28.4,4.9,21.6,93.7,3.4,95.2,67.7,2.9
urbana,municipal,29.7,4.9,18.8,94.4,3.1,98.1,73.0,2.5
total,publica,30.6,5.4,27.9,89.8,4.6,97.4,66.1,5.6
urbana,publica,31.3,5.4,27.3,89.9,4.6,97.8,67.6,5.5
total,total,30.1,5.4,25.3,90.8,4.2,97.0,66.6,5.0
urbana,total,30.7,5.4,24.6,91.0,4.2,97.3,67.9,4.8
rural,privada,24.1,8.2,23.2,91.2,3.1,87.8,49.0,5.7
total,privada,27.1,5.6,6.3,98.5,1.3,95.4,69.4,0.2
urbana,privada,27.2,5.5,6.0,98.6,1.2,95.5,69.8,0.2
rural,estadual,22.5,4.8,39.5,88.4,4.5,92.3,46.8,7.1
total,estadual,30.7,5.3,28.0,89.8,4.4,97.3,66.0,5.8
urbana,estadual,31.3,5.3,27.4,89.9,4.4,97.7,67.5,5.7
rural,publica,22.9,5.1,38.2,87.8,5.3,92.7,48.1,6.9
rural,total,23.0,5.2,37.7,87.9,5.3,92.5,48.1,6.8
rural,municipal,20.6,4.5,44.4,87.7,5.1,81.7,37.6,7.2
total,federal,29.8,7.0,24.7,86.4,11.7,99.1,68.6,1.9
urbana,federal,29.8,6.8,25.0,87.2,10.9,99.1,67.9,1.9
rural,estadual,22.2,4.6,41.5,83.7,8.3,88.9,50.3,8.0
rural,federal,29.8,8.3,18.5,87.1,10.7,98.8,71.7,2.2
total,municipal,27.9,4.7,26.6,86.1,9.2,90.4,62.1,4.7
total,publica,30.8,4.9,31.1,81.4,11.8,94.7,60.7,6.8
total,total,30.4,5.0,28.2,83.1,10.8,93.8,61.0,6.1
urbana,municipal,29.4,4.8,24.0,86.6,9.4,94.3,68.1,4.0
urbana,publica,31.4,4.9,30.7,81.2,11.9,95.2,61.4,6.9
urbana,total,30.9,5.0,27.7,83.0,10.9,94.1,61.6,6.1
total,privada,27.8,5.5,7.4,95.7,4.0,90.3,62.3,0.3
urbana,privada,27.9,5.4,7.1,95.7,4.0,90.4,62.7,0.3
total,estadual,30.9,4.9,31.5,81.2,11.8,94.6,60.4,7.0
urbana,estadual,31.5,4.9,31.0,81.1,12.0,95.1,61.1,6.9
rural,municipal,19.8,4.4,46.4,82.2,7.8,72.8,30.8,10.0
rural,publica,22.6,4.9,39.9,83.9,8.4,89.5,51.1,7.7
rural,total,22.6,5.0,39.4,84.2,8.3,89.0,50.7,7.5
total,federal,29.2,6.9,19.5,86.1,11.6,98.0,72.3,2.3
urbana,federal,29.1,6.6,19.7,85.9,11.8,97.8,72.4,2.3
rural,privada,23.7,8.2,26.6,92.8,4.2,78.5,38.5,3.0
rural,federal,31.8,,25.4,85.0,12.1,,,2.9
total,federal,32.2,,23.4,84.0,13.1,,,2.9
urbana,federal,32.2,,23.0,83.8,13.3,,,2.9
total,total,34.4,,42.5,74.1,12.7,,,13.2
urbana,total,34.6,,42.1,74.0,12.8,,,13.2
urbana,estadual,35.3,,46.3,71.5,13.7,,,14.8
urbana,municipal,34.4,,52.7,74.1,11.5,,,14.4
total,publica,35.0,,46.5,71.8,13.5,,,14.7
urbana,publica,35.3,,46.2,71.6,13.7,,,14.7
total,municipal,33.1,,54.7,75.0,10.6,,,14.4
total,estadual,35.1,,46.6,71.6,13.6,,,14.8
rural,estadual,29.0,,57.1,76.7,8.4,,,14.9
total,privada,29.8,,8.9,93.8,5.6,,,0.6
urbana,privada,29.8,,8.7,93.8,5.6,,,0.6
rural,privada,25.8,,31.1,94.2,4.1,,,1.7
rural,municipal,27.8,,65.0,79.0,6.3,,,14.7
rural,total,28.8,,55.8,77.8,8.2,,,14.0
rural,publica,28.9,,56.5,77.4,8.3,,,14.3
rural,federal,30.8,8.7,18.7,88.5,9.9,98.3,72.3,1.6
total,municipal,27.7,4.8,24.9,86.2,8.9,93.2,65.8,4.9
total,publica,30.6,5.0,31.1,81.7,11.4,95.3,61.6,6.9
total,total,30.2,5.1,28.2,83.4,10.5,94.3,61.9,6.1
urbana,municipal,29.2,4.8,22.7,86.6,9.1,96.3,71.4,4.3
urbana,publica,31.3,5.0,30.6,81.6,11.6,95.8,62.4,6.8
urbana,total,30.7,5.1,27.7,83.4,10.6,94.7,62.6,6.0
total,privada,27.2,5.5,7.4,96.0,3.7,90.4,63.4,0.3
urbana,privada,27.3,5.4,7.1,96.0,3.7,90.6,63.7,0.3
total,estadual,30.7,5.0,31.5,81.5,11.5,95.1,61.3,7.0
urbana,estadual,31.3,5.0,31.0,81.4,11.6,95.7,62.1,7.0
rural,municipal,18.3,4.4,45.4,82.7,6.7,76.5,32.7,10.6
rural,publica,22.3,5.0,39.6,84.1,8.5,89.6,51.5,7.4
rural,total,22.3,5.1,39.0,84.4,8.4,89.1,51.1,7.2
rural,estadual,21.8,4.6,41.4,83.7,8.5,88.8,50.6,7.8
total,federal,29.7,7.0,19.2,87.3,10.8,97.9,72.4,1.9
urbana,federal,29.5,6.7,19.3,87.2,10.9,97.8,72.4,1.9
rural,privada,24.1,8.0,24.8,93.3,4.0,79.0,39.8,2.7
